sku,name,description,categoryId,price,image
'IT000001','Google Pixelbook Go','Portable and lightweight laptop with long battery life.',3,1299,'https://images.unsplash.com/photo-1558864559-ed673ba3610b?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8ZGVsbHxlbnwwfHwwfHx8MA%3D%3D'
'IT000002','iPad','Sleek and affordable tablet with modern features.',4,299,'https://image.made-in-china.com/202f0j00RMHcLnUFaaoQ/2K-Octa-Core-Tablet-PC-RAM-8GB-ROM-256GB-Flat-Computer-Dual-SIM-10-9-Inch.jpg'
'IT000003','Ergonomic Office Chair','Durable backpack for carrying laptops and accessories.',6,99,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-5qNizLBZeQQoio1mPI0R3DhgBVuqQCRijQ&s'
'IT000004','HP Omen 45L','Powerful PC for immersive gaming and VR.',5,2999,'https://m.media-amazon.com/images/I/81IzGxm6ZQL.jpg'
'IT000005','iPad','Lightweight tablet with high-resolution display.',4,199,'https://images-cdn.ubuy.co.id/64c6221783bbd74f26794919-lenovo-tab-m10-plus-3rd-gen-10-tablet.jpg'
'IT000006','OnePlus Nord CE 3 Lite','High-performance smartphone for multitasking.',1,899,'https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/phones/winter-2024-new-product-launch/phones-new/images/all-phones/all-huawei-mate-x3.png'
'IT000007','ASUS TUF Gaming 27"','Top-tier curved screen for work and play.',2,249,'https://m.media-amazon.com/images/I/717DJQ2or6L.jpg'
'IT000008','Lenovo Legion T7','Prebuilt gaming desktop with top-tier performance.',5,2499,'https://assets.corsair.com/image/upload/f_auto,q_auto/products/Systems/i7600/gallery/VENGEANCE_i7600_01.png'
'IT000009','Samsung S23','Budget-friendly smartphone with essential features.',1,699,'https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/phones/winter-2024-new-product-launch/phones-new/images/all-phones/all-huawei-nova-y72.png'
'IT000010','NZXT Streaming PC','Powerful PC for immersive gaming and VR.',5,1999,'https://m.media-amazon.com/images/I/81IzGxm6ZQL.jpg'
'IT000011','9 Inch Tablet','Powerful tablet for entertainment and productivity.',4,699,'https://m.media-amazon.com/images/I/71-hJGtkLWL.jpg'
'IT000012','USB-C Hub 8-in-1','Sturdy mobile holder with adjustable angles.',6,99,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_fKIibp4yWY7fvyT5a498kr7E1njaIxEJ_w&s'
'IT000013','Alienware Aurora R15','Powerful PC for immersive gaming and VR.',5,2999,'https://assets.corsair.com/image/upload/f_auto,q_auto/products/Systems/i7600/gallery/VENGEANCE_i7600_01.png'
'IT000014','USB-C Hub 8-in-1','Durable backpack for carrying laptops and accessories.',6,29,'https://m.media-amazon.com/images/I/61eYIZCU3EL._AC_UF1000,1000_QL80_.jpg'
'IT000015','Windows Surface','Professional laptop for work and productivity.',3,899,'https://images.unsplash.com/photo-1558864559-ed673ba3610b?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8ZGVsbHxlbnwwfHwwfHx8MA%3D%3D'
'IT000016','Microsoft Surface Pro 8','Tablet designed for on-the-go professionals.',4,499,'https://image.made-in-china.com/202f0j00RMHcLnUFaaoQ/2K-Octa-Core-Tablet-PC-RAM-8GB-ROM-256GB-Flat-Computer-Dual-SIM-10-9-Inch.jpg'
'IT000017','Nokia T20','Lightweight tablet with high-resolution display.',4,399,'https://images-cdn.ubuy.co.id/64c6221783bbd74f26794919-lenovo-tab-m10-plus-3rd-gen-10-tablet.jpg'
'IT000018','USB-C Hub 8-in-1','Sturdy mobile holder with adjustable angles.',6,79,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-5qNizLBZeQQoio1mPI0R3DhgBVuqQCRijQ&s'
