sku,name,description,categoryId,price,image
'IT000001','Dell UltraSharp 4K','Curved monitor for immersive viewing experience.',2,249,'https://m.media-amazon.com/images/I/71Y+D6LiODL._AC_UF1000,1000_QL80_.jpg'
'IT000002','QLED Gaming Monitor','Top-tier curved screen for work and play.',2,549,'https://images.philips.com/is/image/philipsconsumer/3de73978f3a44b028eedb01f00dbbe5d'
'IT000003','HP Laptop','Stylish and powerful laptop for everyday use.',3,1499,'https://images.unsplash.com/photo-1558864559-ed673ba3610b?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8ZGVsbHxlbnwwfHwwfHx8MA%3D%3D'
'IT000004','Samsung Tablet','Sleek and affordable tablet with modern features.',4,399,'https://m.media-amazon.com/images/I/61FUEXIELzL._AC_UF1000,1000_QL80_.jpg'
'IT000005','24" Curved','OLED monitor with incredible color accuracy.',2,249,'https://m.media-amazon.com/images/I/71Y+D6LiODL._AC_UF1000,1000_QL80_.jpg'
'IT000006','Gaming Mouse','Sturdy mobile holder with adjustable angles.',6,49,'https://m.media-amazon.com/images/I/61eYIZCU3EL._AC_UF1000,1000_QL80_.jpg'
'IT000007','ASUS TUF Gaming 27"','Top-tier curved screen for work and play.',2,549,'https://m.media-amazon.com/images/I/71Y+D6LiODL._AC_UF1000,1000_QL80_.jpg'
'IT000008','Lenovo Tab P12','Lightweight tablet with high-resolution display.',4,699,'https://images-cdn.ubuy.co.in/633b51122af1ce605a57ae50-10-1.jpg'
'IT000009','Vivo X90 Pro','Latest smartphone with cutting-edge technology.',1,1099,'https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/phones/winter-2024-new-product-launch/phones-new/images/all-phones/all-huawei-nova-y72.png'
'IT000010','Lenovo Tab P12','Compact tablet for everyday use.',4,399,'https://images-cdn.ubuy.co.in/633b51122af1ce605a57ae50-10-1.jpg'
'IT000011','Sony Xperia 1 V','Flagship mobile with stunning camera and battery life.',1,1299,'https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/plp-x/phones/winter-2024-new-product-launch/phones-new/images/all-phones/all-huawei-mate-x3.png'
'IT000012','Portable Charger 20,000mAh','Durable backpack for carrying laptops and accessories.',6,29,'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_fKIibp4yWY7fvyT5a498kr7E1njaIxEJ_w&s'
'IT000013','HP Omen 45L','Customizable gaming station with extreme specs.',51,1999,'https://assets.corsair.com/image/upload/f_auto,q_auto/products/Systems/i7600/gallery/VENGEANCE_i7600_01.png'
'IT000014','Webcam 1080p HD','Durable backpack for carrying laptops and accessories.',6,29,'https://m.media-amazon.com/images/I/61eYIZCU3EL._AC_UF1000,1000_QL80_.jpg'
'IT000015','NZXT Streaming PC','Customizable gaming station with extreme specs.',5,999,'https://m.media-amazon.com/images/I/81jhBeNlXcL.jpg'
'IT000016','MSI Infinite X','High-end gaming rig with customizable RGB.',5,1999,'https://images-cdn.ubuy.co.in/64f45682c6e13a6a3064d0ec-viprtech-gaming-pc-computer-desktop.jpg'
'IT000017','28" OLED','OLED monitor with incredible color accuracy.',2,449,'https://m.media-amazon.com/images/I/71Y+D6LiODL._AC_UF1000,1000_QL80_.jpg'
'IT000018','Razer Tomahawk','High-end gaming rig with customizable RGB.',5,999,'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6544/6544421_sd.jpg;maxHeight=640;maxWidth=550;format=webp'
'IT000019','Google Pixelbook Go','Portable and lightweight laptop with long battery life.',3,1499,'https://images.unsplash.com/photo-1558864559-ed673ba3610b?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8ZGVsbHxlbnwwfHwwfHx8MA%3D%3D'
